cd_id,assessed,reason,title,crg
CD006043,Cochrane,D,Pain relief for the removal of femoral sheath after percutaneous coronary intervention,"Pain, Palliative and Supportive Care Group"
CD006044,Dual,C,Lamotrigine for chronic neuropathic pain and fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD006142,Cochrane,D,Transcutaneous electrical nerve stimulation for acute pain,"Pain, Palliative and Supportive Care Group"
CD006145,Cochrane,F,Exercise for the management of cancer-related fatigue in adults,"Pain, Palliative and Supportive Care Group"
CD006146,Cochrane,F,Opioids for neuropathic pain,"Pain, Palliative and Supportive Care Group"
CD006148,Dual,A,Structured treatment interruptions (STI) in chronic unsuppressed HIV infection in adults,Infectious Diseases Group
CD006160,Single,E,H1-antihistamines for the treatment of anaphylaxis with and without shock,Emergency and Critical Care Group
CD006203,Single,E,Interventions for treating traumatised permanent front teeth: luxated (dislodged) teeth,Oral Health Group
CD006204,Single,E,Resorbable versus titanium plates for orthognathic surgery,Oral Health Group
CD006226,Dual,B,Long versus short course treatment with metformin and clomiphene citrate for ovulation induction in women with PCOS,Gynaecology and Fertility Group
CD006227,Dual,C,Microwave therapy for cervical ectropion,Gynaecology and Fertility Group
CD006271,Single,E,Haloperidol for the treatment of nausea and vomiting in palliative care patients,"Pain, Palliative and Supportive Care Group"
CD006273,Dual,D,Medically assisted hydration for adult palliative care patients,"Pain, Palliative and Supportive Care Group"
CD006274,Single,D,Medically assisted nutrition for adult palliative care patients,"Pain, Palliative and Supportive Care Group"
CD006275,Dual,F,Non-pharmacological management of infant and young child procedural pain,"Pain, Palliative and Supportive Care Group"
CD006276,Cochrane,B,Transcutaneous electric nerve stimulation (TENS) for cancer pain in adults,"Pain, Palliative and Supportive Care Group"
CD006312,Single,E,Adrenaline (epinephrine) for the treatment of anaphylaxis with and without shock,Emergency and Critical Care Group
CD006380,Single,E,Pharmacologic interventions for treating phantom limb pain,"Pain, Palliative and Supportive Care Group"
CD006642,Single,E,Thoracic endovascular repair (TEVAR) versus open surgery for blunt traumatic thoracic aortic injury,Vascular Group
CD006704,Cochrane,F,Drug therapy for the management of cancer-related fatigue,"Pain, Palliative and Supportive Care Group"
CD006716,Cochrane,D,Interventions for the treatment of metastatic extradural spinal cord compression in adults,"Pain, Palliative and Supportive Care Group"
CD006736,Cochrane,F,Iron supplementation for reducing morbidity and mortality in children with HIV,Infectious Diseases Group
CD006745,Cochrane,A,Percutaneous ethanol injection or percutaneous acetic acid injection for early hepatocellular carcinoma,Hepato-Biliary Group
CD006771,Cochrane,A,Subcutaneous unfractionated heparin for the initial treatment of venous thromboembolism,Vascular Group
CD006772,Dual,G,Service organisation for the secondary prevention of ischaemic heart disease in primary care,Heart Group
CD006788,Dual,E,Pharmacological treatments for fatigue associated with palliative care,"Pain, Palliative and Supportive Care Group"
CD006812,Cochrane,B,Adjuvant radiotherapy and/or chemotherapy after surgery for uterine carcinosarcoma,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD006819,Cochrane,B,Bicarbonate- versus lactate-buffered solutions for acute continuous haemodiafiltration or haemofiltration,Kidney and Transplant Group
CD006830,Dual,E,Cyclobenzaprine for the treatment of myofascial pain in adults,"Pain, Palliative and Supportive Care Group"
CD006863,Cochrane,B,Protein restriction for children with chronic kidney disease,Kidney and Transplant Group
CD006865,Single,B,Single dose oral lumiracoxib for postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD006870,Dual,B,Statins for acute coronary syndrome,Heart Group
CD006900,Cochrane,B,Ovulation triggers in anovulatory women undergoing ovulation induction,Gynaecology and Fertility Group
CD006912,Single,G,Effectiveness of different treatment modalities for the management of adult-onset granulosa cell tumours of the ovary (primary and recurrent),"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD006938,Cochrane,D,Droperidol for treatment of nausea and vomiting in palliative care patients,"Pain, Palliative and Supportive Care Group"
CD006953,Cochrane,F,Psychosocial interventions for reducing fatigue during cancer treatment in adults,"Pain, Palliative and Supportive Care Group"
CD007034,Cochrane,B,Bicarbonate versus lactate solutions for acute peritoneal dialysis,Kidney and Transplant Group
CD007069,Dual,E,Thrombophilia testing for prevention of recurrent venous thromboembolism,Vascular Group
CD007076,Cochrane,D,Pregabalin for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD007126,Dual,E,Single dose intravenous paracetamol or intravenous propacetamol for postoperative pain,"Pain, Palliative and Supportive Care Group"
CD007132,Single,E,Interventions for improving palliative care for older people living in nursing care homes,"Pain, Palliative and Supportive Care Group"
CD007157,Dual,E,Interventions for the restorative care of amelogenesis imperfecta in children and adolescents,Oral Health Group
CD007219,Single,G,Enhanced external counterpulsation for chronic angina pectoris,Heart Group
CD007261,Single,G,Interventions for managing temporomandibular joint osteoarthritis,Oral Health Group
CD007264,Cochrane,D,Transcutaneous electrical nerve stimulation (TENS) for phantom pain and stump pain following amputation in adults,"Pain, Palliative and Supportive Care Group"
CD007281,Dual,E,Interventions for cutaneous Bowen's disease,Skin Group
CD007291,Dual,C,Vaginal dilator therapy for women receiving pelvic radiotherapy,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD007294,Single,G,Chemotherapy wafers for high grade glioma,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD007309,Dual,B,Chemotherapy and supportive care versus supportive care alone for advanced non-small cell lung cancer,Lung Cancer Group
CD007336,Dual,E,Disease modifying anti-rheumatic drugs in people with cystic fibrosis-related arthritis,Cystic Fibrosis and Genetic Disorders Group
CD007354,Single,E,Benzodiazepines for the relief of breathlessness in advanced malignant and non-malignant diseases in adults,"Pain, Palliative and Supportive Care Group"
CD007355,Single,B,Single dose oral ketoprofen or dexketoprofen for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007357,Dual,B,Single dose oral etodolac for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007358,Dual,B,Single dose oral flurbiprofen for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007371,Cochrane,B,Padma 28 for intermittent claudication,Vascular Group
CD007393,Cochrane,D,Topical capsaicin (high concentration) for chronic neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD007400,Cochrane,D,Topical NSAIDs for chronic musculoskeletal pain in adults,"Pain, Palliative and Supportive Care Group"
CD007402,Dual,E,Topical NSAIDs for acute musculoskeletal pain in adults,"Pain, Palliative and Supportive Care Group"
CD007403,Dual,E,Salicylate-containing rubefacients for acute and chronic musculoskeletal pain in adults,"Pain, Palliative and Supportive Care Group"
CD007407,Single,D,Psychological therapies for the management of chronic pain (excluding headache) in adults,"Pain, Palliative and Supportive Care Group"
CD007440,Dual,B,Single dose oral diflunisal for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007441,Single,B,Single dose oral lornoxicam for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007442,Dual,B,Single dose oral nefopam for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007481,Dual,E,Chemical pleurodesis versus surgical intervention for persistent and recurrent pneumothoraces in cystic fibrosis,Cystic Fibrosis and Genetic Disorders Group
CD007517,Single,E,Adhesively bonded versus non-bonded amalgam restorations for dental caries,Oral Health Group
CD007519,Single,E,Celiac plexus block for pancreatic cancer pain in adults,"Pain, Palliative and Supportive Care Group"
CD007533,Dual,D,Botulinum toxin for myofascial pain syndromes in adults,"Pain, Palliative and Supportive Care Group"
CD007540,Dual,B,Single dose oral sulindac for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007542,Dual,B,Single dose oral tiaprofenic acid for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007547,Dual,B,Single dose oral fenbufen for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007548,Dual,B,Single dose oral nabumetone for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007550,Dual,B,Single dose oral dexibuprofen [S(+)-ibuprofen] for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007552,Single,B,Single dose oral meloxicam for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007553,Single,B,Single dose oral mefenamic acid for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007556,Dual,B,Single dose oral fenoprofen for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007588,Dual,B,Single dose oral aceclofenac for postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007589,Dual,B,Single dose oral acemetacin for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007591,Dual,B,Single dose oral tenoxicam for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD007596,Single,E,Glucocorticoids for the treatment of anaphylaxis,Emergency and Critical Care Group
CD007609,Cochrane,D,Positioning and spinal bracing for pain relief in metastatic spinal cord compression in adults,"Pain, Palliative and Supportive Care Group"
CD007683,Cochrane,B,Laparoscopy for the management of acute lower abdominal pain in women of childbearing age,Gynaecology and Fertility Group
CD007692,Dual,B,Danazol for uterine fibroids,Gynaecology and Fertility Group
CD007731,Single,B,Ganoderma lucidum (Reishi mushroom) for cancer treatment,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD007753,Single,E,Acupuncture for cancer pain in adults,"Pain, Palliative and Supportive Care Group"
CD007760,Dual,D,Effectiveness and cost-effectiveness of home palliative care services for adults with advanced illness and their caregivers,"Pain, Palliative and Supportive Care Group"
CD007770,Cochrane,B,Oral H1 antihistamines as monotherapy for eczema,Skin Group
CD007771,Dual,D,Vitamin D for the treatment of chronic painful conditions in adults,"Pain, Palliative and Supportive Care Group"
CD007819,Single,E,Antibacterial agents in composite restorations for the prevention of dental caries,Oral Health Group
CD007869,Dual,G,Interventions for non-metastatic squamous cell carcinoma of the skin,Skin Group
CD007881,Cochrane,D,Interventions for cough in cancer,"Pain, Palliative and Supportive Care Group"
CD007887,Cochrane,D,Drug therapy for treating post-dural puncture headache,"Pain, Palliative and Supportive Care Group"
CD007924,Cochrane,F,Medical interventions for high-grade vulval intraepithelial neoplasia,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD007927,Single,A,Epidermal growth factor receptor blockers for the treatment of ovarian cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD007928,Cochrane,F,Surgical interventions for high-grade vulval intraepithelial neoplasia,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD007938,Cochrane,D,Gabapentin for chronic neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD008000,Cochrane,B,Rheum officinale (a traditional Chinese medicine) for chronic kidney disease,Kidney and Transplant Group
CD008006,Cochrane,D,End-of-life care pathways for improving outcomes in caring for the dying,"Pain, Palliative and Supportive Care Group"
CD008025,Cochrane,F,Methadone for chronic non-cancer pain in adults,"Pain, Palliative and Supportive Care Group"
CD008039,Dual,C,Ibuprofen with or without an antiemetic for acute migraine headaches in adults,"Pain, Palliative and Supportive Care Group"
CD008040,Cochrane,D,Paracetamol (acetaminophen) with or without an antiemetic for acute migraine headaches in adults,"Pain, Palliative and Supportive Care Group"
CD008041,Dual,C,Aspirin with or without an antiemetic for acute migraine headaches in adults,"Pain, Palliative and Supportive Care Group"
CD008042,Cochrane,D,Triptans for acute cluster headache,"Pain, Palliative and Supportive Care Group"
CD008088,Single,B,Anti-TNF-_ treatment for pelvic pain associated with endometriosis,Gynaecology and Fertility Group
CD008099,Dual,B,"Single dose oral codeine, as a single agent, for acute postoperative pain in adults","Pain, Palliative and Supportive Care Group"
CD008144,Cochrane,D,Educational interventions for the management of cancer-related fatigue in adults,"Pain, Palliative and Supportive Care Group"
CD008183,Dual,E,Single dose oral gabapentin for established acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD008216,Cochrane,A,Autologous hematopoietic stem cell transplantation following high-dose chemotherapy for nonrhabdomyosarcoma soft tissue sarcomas,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD008236,Single,E,Adhesives for bonded molar tubes during fixed brace treatment,Oral Health Group
CD008242,Single,B,Amitriptyline for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD008244,Cochrane,D,Milnacipran for pain in fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD008285,Single,H,Reducing uncertainties about the effects of chemoradiotherapy for cervical cancer: individual patient data meta-analysis,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD008307,Cochrane,D,Pharmacotherapy for the prevention of chronic pain after surgery in adults,"Pain, Palliative and Supportive Care Group"
CD008314,Dual,E,Topiramate for neuropathic pain and fibromyalgia in adults,Neuromuscular Disease Group
CD008320,Single,D,Pharmacological interventions for pruritus in adult palliative care patients,"Pain, Palliative and Supportive Care Group"
CD008408,Single,D,Sweet tasting solutions for reduction of needle-related procedural pain in children aged one to 16 years,"Pain, Palliative and Supportive Care Group"
CD008411,Cochrane,D,Sweet-tasting solutions for needle-related procedural pain in infants one month to one year of age,"Pain, Palliative and Supportive Care Group"
CD008464,Single,E,Interventions for the treatment of keratocystic odontogenic tumours,Oral Health Group
CD008536,Single,B,Short-term and long-term effects of tibolone in postmenopausal women,Gynaecology and Fertility Group
CD008541,Dual,B,Sumatriptan plus naproxen for the treatment of acute migraine attacks in adults,"Pain, Palliative and Supportive Care Group"
CD008575,Cochrane,B,Antidepressants for polycystic ovary syndrome,Gynaecology and Fertility Group
CD008596,Dual,C,Histamine H2-receptor antagonists for urticaria,Skin Group
CD008609,Dual,E,Topical analgesics for acute and chronic pain in adults - an overview of Cochrane Reviews,"Pain, Palliative and Supportive Care Group"
CD008615,Dual,C,Sumatriptan (oral route of administration) for acute migraine attacks in adults,"Pain, Palliative and Supportive Care Group"
CD008616,Single,B,Zolmitriptan for acute migraine attacks in adults,"Pain, Palliative and Supportive Care Group"
CD008642,Single,G,Chinese herbal medicine for atopic eczema,Skin Group
CD008651,Dual,B,Stavudine or zidovudine in three-drug combination therapy for initial treatment of HIV infection in antiretroviral-na´ve individuals,Infectious Diseases Group
CD008659,Single,D,Single dose oral analgesics for acute postoperative pain in adults - an overview of Cochrane reviews,"Pain, Palliative and Supportive Care Group"
CD008734,Dual,E,Interventions for managing relapse of the lower front teeth after orthodontic treatment,Oral Health Group
CD008768,Cochrane,D,Interventions for treating persistent and intractable hiccups in adults,"Pain, Palliative and Supportive Care Group"
CD008783,Dual,C,Diclofenac with or without an antiemetic for acute migraine headaches in adults,"Pain, Palliative and Supportive Care Group"
CD008838,Single,E,Venom immunotherapy for preventing allergic reactions to insect stings,Skin Group
CD008918,Single,E,Single dose intra-articular morphine for pain control after knee arthroscopy,"Pain, Palliative and Supportive Care Group"
CD008935,Cochrane,A,Adrenaline auto-injectors for the treatment of anaphylaxis with and without cardiovascular collapse in the community,Emergency and Critical Care Group
CD008943,Cochrane,D,Combination pharmacotherapy for the treatment of neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD008955,Single,G,Interferon alpha for the adjuvant treatment of cutaneous melanoma,Skin Group
CD009007,Single,E,Blood transfusions for anaemia in patients with advanced cancer,"Pain, Palliative and Supportive Care Group"
CD009017,Cochrane,A,Clofibrate in combination with phototherapy for unconjugated neonatal hyperbilirubinaemia,Neonatal Group
CD009108,Dual,E,Sumatriptan (all routes of administration) for acute migraine attacks in adults - overview of Cochrane reviews,"Pain, Palliative and Supportive Care Group"
CD009183,Cochrane,D,Valproic acid and sodium valproate for neuropathic pain and fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD009199,Cochrane,D,Posture and fluids for preventing post-dural puncture headache,"Pain, Palliative and Supportive Care Group"
CD009204,Dual,B,Sodium bicarbonate supplements for treating acute kidney injury,Kidney and Transplant Group
CD009281,Dual,C,Caffeine as an analgesic adjuvant for acute pain in adults,"Pain, Palliative and Supportive Care Group"
CD009318,Single,D,Lacosamide for neuropathic pain and fibromyalgia in adults,Neuromuscular Disease Group
CD009389,Cochrane,D,Spinal cord stimulation for cancer-related pain in adults,"Pain, Palliative and Supportive Care Group"
CD009416,Dual,D,Interventions for treating pain and disability in adults with complex regional pain syndrome- an overview of systematic reviews,"Pain, Palliative and Supportive Care Group"
CD009419,Cochrane,D,Neuromuscular electrical stimulation for muscle weakness in adults with advanced disease,"Pain, Palliative and Supportive Care Group"
CD009420,Single,E,Levomepromazine for nausea and vomiting in palliative care,"Pain, Palliative and Supportive Care Group"
CD009455,Cochrane,D,Naproxen with or without an antiemetic for acute migraine headaches in adults,"Pain, Palliative and Supportive Care Group"
CD009481,Dual,G,Narrow-band ultraviolet B phototherapy versus broad-band ultraviolet B or psoralen-ultraviolet A photochemotherapy for psoriasis,Skin Group
CD009485,Single,B,Phenytoin for neuropathic pain and fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD009486,Dual,B,Clonazepam for neuropathic pain and fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD009509,Cochrane,D,Multidisciplinary rehabilitation after primary brain tumour treatment,"Pain, Palliative and Supportive Care Group"
CD009535,Cochrane,B,Home versus in-centre haemodialysis for end-stage kidney disease,Kidney and Transplant Group
CD009574,Cochrane,D,Tramadol for postoperative pain treatment in children,"Pain, Palliative and Supportive Care Group"
CD009583,Single,E,Nalbuphine for postoperative pain treatment in children,"Pain, Palliative and Supportive Care Group"
CD009596,Dual,E,Buprenorphine for treating cancer pain,"Pain, Palliative and Supportive Care Group"
CD009620,Single,A,Interferon after surgery for women with advanced (Stage II-IV) epithelial ovarian cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD009663,Dual,B,Sumatriptan (intranasal route of administration) for acute migraine attacks in adults,"Pain, Palliative and Supportive Care Group"
CD009664,Single,B,Sumatriptan (rectal route of administration) for acute migraine attacks in adults,"Pain, Palliative and Supportive Care Group"
CD009665,Dual,C,Sumatriptan (subcutaneous route of administration) for acute migraine attacks in adults,"Pain, Palliative and Supportive Care Group"
CD009688,Single,D,Interventions for the symptoms and signs resulting from jellyfish stings,"Pain, Palliative and Supportive Care Group"
CD009796,Cochrane,D,Cognitive behavioural therapies for fibromyalgia,"Pain, Palliative and Supportive Care Group"
CD009873,Cochrane,D,Massage with or without aromatherapy for symptom relief in people with cancer,"Pain, Palliative and Supportive Care Group"
CD009888,Single,G,Electric fans for reducing adverse health impacts in heatwaves,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD009984,Cochrane,D,Psychological interventions for acute pain after open heart surgery,"Pain, Palliative and Supportive Care Group"
CD010107,Single,E,Single dose oral ibuprofen plus codeine for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD010111,Single,E,Topical capsaicin (low concentration) for chronic neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD010152,Cochrane,F,Psychological therapies (Internet-delivered) for the management of chronic pain in adults,"Pain, Palliative and Supportive Care Group"
CD010206,Cochrane,D,Palliative pharmacological sedation for terminally ill adults,"Pain, Palliative and Supportive Care Group"
CD010210,Dual,C,Single dose oral ibuprofen plus paracetamol (acetaminophen) for acute postoperative pain,"Pain, Palliative and Supportive Care Group"
CD010240,Cochrane,B,Tamoxifen or letrozole versus standard methods for women with estrogen-receptor positive breast cancer undergoing oocyte or embryo cryopreservation in assisted reproduction,Gynaecology and Fertility Group
CD010270,Cochrane,D,Transdermal fentanyl for cancer pain,"Pain, Palliative and Supportive Care Group"
CD010289,Cochrane,B,Single dose oral ibuprofen plus oxycodone for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD010529,Single,D,Interventions for the management of malignant pleural effusions: a network meta-analysis,"Pain, Palliative and Supportive Care Group"
CD010567,Single,F,Antiepileptic drugs for neuropathic pain and fibromyalgia - an overview of Cochrane reviews,"Pain, Palliative and Supportive Care Group"
CD010608,Cochrane,D,"Antiepileptics other than gabapentin, pregabalin, topiramate, and valproate for the prophylaxis of episodic migraine in adults","Pain, Palliative and Supportive Care Group"
CD010609,Dual,E,Gabapentin or pregabalin for the prophylaxis of episodic migraine in adults,"Pain, Palliative and Supportive Care Group"
CD010610,Dual,E,Topiramate for the prophylaxis of episodic migraine in adults,"Pain, Palliative and Supportive Care Group"
CD010611,Single,E,Valproate (valproic acid or sodium valproate or a combination of the two) for the prophylaxis of episodic migraine in adults,"Pain, Palliative and Supportive Care Group"
CD010681,Cochrane,B,Adjuvant chemotherapy for advanced endometrial cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD010692,Single,E,Oxycodone for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD010750,Cochrane,D,Pharmacological interventions for pain in children and adolescents with life-limiting conditions,"Pain, Palliative and Supportive Care Group"
CD010756,Cochrane,D,Corticosteroids for the management of cancer-related pain in adults,"Pain, Palliative and Supportive Care Group"
CD010769,Single,B,Imipramine for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD010794,Single,D,Non-prescription (OTC) oral analgesics for acute pain - an overview of Cochrane reviews,"Pain, Palliative and Supportive Care Group"
CD010804,Dual,B,Exercise for cancer cachexia in adults,"Pain, Palliative and Supportive Care Group"
CD010902,Dual,B,Oral nonsteroidal anti-inflammatory drugs for neuropathic pain,"Pain, Palliative and Supportive Care Group"
CD010943,Dual,B,Levetiracetam for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD010958,Single,E,Topical lidocaine for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD010967,Single,E,Topical clonidine for neuropathic pain,"Pain, Palliative and Supportive Care Group"
CD011003,Cochrane,D,Desipramine for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011008,Dual,E,Opioids for the palliation of refractory breathlessness in adults with advanced disease and terminal illness,"Pain, Palliative and Supportive Care Group"
CD011056,Single,B,"Impact of morphine, fentanyl, oxycodone or codeine on patient consciousness, appetite and thirst when used to treat cancer pain","Pain, Palliative and Supportive Care Group"
CD011091,Cochrane,D,Venlafaxine for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011118,Cochrane,D,Psychological therapies (remotely delivered) for the management of chronic and recurrent pain in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD011122,Single,B,Early versus delayed erythropoietin for the anaemia of end-stage kidney disease,Kidney and Transplant Group
CD011131,Dual,E,Infraorbital nerve block for postoperative pain following cleft lip repair in children,"Pain, Palliative and Supportive Care Group"
CD011209,Dual,B,Nortriptyline for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011241,Dual,E,Zonisamide for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011248,Dual,E,Breastfeeding for procedural pain in infants beyond the neonatal period,"Pain, Palliative and Supportive Care Group"
CD011259,Single,E,Psychological therapies for the management of chronic neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011404,Cochrane,D,As required versus fixed schedule analgesic administration for postoperative pain in children,"Pain, Palliative and Supportive Care Group"
CD011407,Dual,E,Adverse events associated with single dose oral analgesics for acute postoperative pain in adults - an overview of Cochrane reviews,"Pain, Palliative and Supportive Care Group"
CD011421,Single,E,Single dose dipyrone (metamizole) for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD011460,Single,E,Oral tapentadol for cancer pain,"Pain, Palliative and Supportive Care Group"
CD011474,Dual,C,Ibuprofen for acute treatment of episodic tension-type headache in adults,"Pain, Palliative and Supportive Care Group"
CD011476,Dual,E,Liposomal bupivacaine peripheral nerve block for the management of postoperative pain,"Pain, Palliative and Supportive Care Group"
CD011509,Single,B,Single dose oral ibuprofen plus caffeine for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD011603,Single,B,Buprenorphine for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011604,Dual,E,Hydromorphone for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011605,Single,E,Fentanyl for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011669,Dual,E,Morphine for chronic neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011694,Cochrane,D,Cannabinoids for fibromyalgia,"Pain, Palliative and Supportive Care Group"
CD011789,Dual,E,Milnacipran for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD011790,Dual,E,Pregabalin for pain in fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD011824,Single,B,Amitriptyline for fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD011888,Single,B,Aspirin for acute treatment of episodic tension-type headache in adults,"Pain, Palliative and Supportive Care Group"
CD011889,Dual,E,Paracetamol (acetaminophen) for acute treatment of episodic tension-type headache in adults,"Pain, Palliative and Supportive Care Group"
CD011890,Single,D,Transcutaneous electrical nerve stimulation (TENS) for chronic pain - an overview of Cochrane Reviews,"Pain, Palliative and Supportive Care Group"
CD011930,Single,B,Interventions for treating post-extraction bleeding,Oral Health Group
CD011976,Single,E,Transcutaneous electrical nerve stimulation (TENS) for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD012002,Dual,E,"Corticosteroids for adult patients with advanced cancer who have nausea and vomiting (not related to chemotherapy, radiotherapy, or surgery)","Pain, Palliative and Supportive Care Group"
CD012030,Single,E,Psychosocial interventions for fatigue during cancer treatment with palliative intent,"Pain, Palliative and Supportive Care Group"
CD012051,Cochrane,D,Interventions for treating persistent pain in survivors of torture,"Pain, Palliative and Supportive Care Group"
CD012057,Single,E,Acupuncture for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD012172,Cochrane,D,Transcutaneous electrical nerve stimulation (TENS) for fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD012188,Single,E,Gabapentin for fibromyalgia pain in adults,"Pain, Palliative and Supportive Care Group"
CD012190,Single,B,Ketoprofen for episodic tension-type headache in adults,"Pain, Palliative and Supportive Care Group"
CD012227,Dual,E,Paracetamol (acetaminophen) with or without codeine or dihydrocodeine for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD012232,Dual,E,Single fixed-dose oral dexketoprofen plus tramadol for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group"
CD012295,Cochrane,D,Psychological therapies for the prevention of migraine in adults,"Pain, Palliative and Supportive Care Group"
CD012329,Single,E,Oxycodone for pain in fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD012332,Cochrane,D,Oral nonsteroidal anti-inflammatory drugs for fibromyalgia in adults,"Pain, Palliative and Supportive Care Group"
CD012499,Single,E,Methadone for neuropathic pain in adults,"Pain, Palliative and Supportive Care Group"
CD012508,Cochrane,D,Tramadol with or without paracetamol (acetaminophen) for cancer pain,"Pain, Palliative and Supportive Care Group"
CD012535,Cochrane,D,Antidepressants for chronic non-cancer pain in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD012536,Cochrane,D,Antiepileptic drugs for chronic non-cancer pain in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD012537,Cochrane,D,Non-steroidal anti-inflammatory drugs (NSAIDs) for chronic non-cancer pain in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD012538,Cochrane,D,Opioids for chronic non-cancer pain in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD012539,Single,D,Paracetamol (acetaminophen) for chronic non-cancer pain in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD012563,Cochrane,D,Non-steroidal anti-inflammatory drugs (NSAIDs) for cancer-related pain in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD012564,Cochrane,D,Opioids for cancer-related pain in children and adolescents,"Pain, Palliative and Supportive Care Group"
CD012592,Single,D,Opioids for cancer pain - an overview of Cochrane reviews,"Pain, Palliative and Supportive Care Group"
CD012637,Cochrane,D,Oral paracetamol (acetaminophen) for cancer pain,"Pain, Palliative and Supportive Care Group"
CD012638,Cochrane,D,Oral nonsteroidal anti-inflammatory drugs (NSAIDs) for cancer pain in adults,"Pain, Palliative and Supportive Care Group"
